Ticker,Description,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
UNH,UnitedHealth Group Incorporated,0.08529792,0.13258763,0.15310982,0.13982979,0.02408072,-1.388757,-1.76654212,-0.21140125,3.56270257,18.81864989,18.45272043,33.12928658,1.0578756,2.09319169
PG,Procter & Gamble Company (The),-0.04837595,-0.13464526,-0.14498757,-0.10360547,0.07611403,0.75952895,0.38181187,1.55207529,7.27798798,13.55426417,3.92410522,4.66883822,0.48575178,1.34955598
HD,"Home Depot, Inc. (The)",0.05732215,0.12377732,0.08147746,-0.01202931,0.4391278,0.7995136,0.37537083,1.65552762,7.88703065,24.54176683,24.83246743,19.68668784,1.0059385,1.31245612
MA,Mastercard Incorporated,0.05983758,0.07124334,0.18401495,0.04558405,-0.07398554,1.83632619,3.17726244,1.38924992,-3.38259984,-8.03248625,-1.65293887,3.35649511,1.441103,2.11304348
BAC,Bank of America Corporation,0.02452784,0.06134217,0.01299826,0.07361963,-0.1957905,-1.30687318,-0.65773447,-2.32335329,-3.6389414,9.12496655,34.5430551,59.85887887,1.077983,1.99115044
DIS,Walt Disney Company (The),0.04321054,0.0702361,0.10539116,0.0850523,0.16217815,0.43940545,2.29281768,2.12355212,5.17496024,-5.08048805,2.19119108,38.83473305,0.8193835,1.92474989
PYPL,"PayPal Holdings, Inc.",0.0631446,0.24953432,0.11934012,0.04735098,-1.40338749,-2.73818455,-1.34887421,-1.18824915,8.20561457,17.82955343,21.78906917,46.57245632,1.6502644,4.71887905
ADBE,Adobe Inc.,0.02564489,-0.03166084,0.15104143,0.12986817,-0.11223006,0.27669,-0.50555814,-0.07232183,28.86065128,51.76311755,32.61217308,38.32645059,1.2468902,1.06224319
CMCSA,Comcast Corporation,0.04158004,0.09152176,-0.03323916,0.07486898,-0.29835903,-0.26533997,-2.55994815,-0.8899143,6.89655172,5.12148226,14.77099237,34.84304933,0.63758916,0.79113924
NFLX,"Netflix, Inc.",0.04456916,0.11563176,0.06604256,-0.01649702,-0.13511509,-0.10878344,2.6281476,6.47586922,24.75041683,20.11931661,12.07996597,21.1639577,0.9504598,3.33887294
PFE,"Pfizer, Inc.",0.11839414,0.12917115,0.09684709,-0.16528216,-0.06446068,-0.51336898,-0.70452605,0.95506837,16.82994223,33.15201832,26.35153491,35.61048145,0.5276623,1.16756757
CRM,Salesforce.com Inc,0.12581494,0.09147039,0.16973396,-0.12170077,-0.11030391,-0.97658459,-1.66991164,-0.99898217,11.23724004,23.90073599,18.01554847,4.86762768,1.2076391,1.38772077
NKE,"Nike, Inc.",0.06850168,0.06227038,0.26831399,0.25580235,0.06850168,-1.18666995,-1.58001102,-2.44627899,21.89775485,16.80354677,13.60005655,39.8694517,1.1392115,1.80907668
ORCL,Oracle Corporation,0.08949547,0.11749566,0.07829978,0.22965328,-0.13394352,0.84535618,-0.58888889,0.38146528,5.85660199,24.05712701,38.30576596,57.10272169,0.6719053,1.8529044
CSCO,"Cisco Systems, Inc.",0.06820119,0.1279536,0.04261485,0.04261485,0.16212987,-0.33967391,-1.24537193,-0.57607591,8.62643465,21.51584179,31.12849162,46.2247695,1.082261,0.75226534
LLY,Eli Lilly and Company,-0.00392357,0.05103443,0.21233092,-0.04706251,-0.11870848,0.01569859,-1.80711286,-1.33570793,12.76106195,24.03991239,50.9357972,67.69099164,0.6800656,0.80022075
KO,Coca-Cola Company (The),0.05320092,0.07094714,0.10645848,0.05320092,0.3200569,1.34722472,-0.54644809,0.19534719,1.69430425,9.68118196,2.88110868,12.41283124,0.54738307,1.56446682
DHR,Danaher Corporation,0.05446623,0.00302435,0,-0.0302334,-0.18980418,0.15454545,-0.5775652,1.95890918,37.31200665,55.22002536,48.78455028,63.66742597,0.5463652,1.32153212
XOM,Exxon Mobil Corporation,-0.02774951,-0.12013677,-0.3227889,-0.23077633,-0.44765396,-0.91659028,-1.49444141,-0.86206897,-13.72705507,-12.49797636,31.12566715,42.42424242,1.050518,2.16626551
ABT,Abbott Laboratories,0.03099814,0.08917148,0.09693304,-0.03097893,-0.17400719,0.5218475,0.09306654,2.12866978,18.34938102,11.373835,17.87377843,21.97334845,0.48178056,1.19145279
VZ,Verizon Communications Inc.,-0.00910498,0.0820195,0.01821494,0.02732489,0.12764406,0.16417366,-0.93812015,-0.16363636,-3.75109553,-3.80168185,-6.53617021,-8.5443038,0.34866685,0.54279978
TMO,Thermo Fisher Scientific Inc,0.17136163,0.22919728,0.3266171,0.12059142,-0.06977515,0.59911801,0.78681945,3.17686278,27.74815377,29.81024281,22.92927992,36.87607573,0.79670376,1.25225193
INTC,Intel Corporation,0.05601195,0.06535338,0.15886366,0.21355454,0.54409006,-0.14911463,0.11212857,-0.9064003,-6.01754386,-13.9437751,7.52709755,7.9604998,0.8681828,1.75504812
PEP,"PepsiCo, Inc.",0.07597959,0.1149719,0.12776287,0.14055712,0.4840209,1.41720054,-0.23553377,0.21101093,7.26899384,17.32295254,5.67768038,14.30238495,0.51348335,1.58781594
ACN,Accenture plc,0.06172295,0.11468902,0.13824749,0.04996033,-0.10856489,-0.34261618,-0.87670754,1.11718564,20.63379533,32.3481372,30.2859768,42.44694655,1.1723117,0.75061816
COST,Costco Wholesale Corporation,0.06229325,0.05692009,0.04510116,0.08379168,0.3100842,1.32724108,0.68100746,2.24154208,22.56553321,43.81002378,23.59997877,34.42831164,0.79231465,1.69184422
AVGO,Broadcom Inc.,0.02022408,0.0890472,0.13971288,0.09917623,0.52849825,-0.44503514,-0.66307668,-0.569176,6.56349018,12.97790169,12.91081421,37.31633475,0.88025796,2.41339042
T,AT&T Inc.,-0.05431831,-0.01811266,-0.05431831,-0.21691974,-0.15591594,0.65645514,0.14513788,0.65645514,-4.86039297,-7.96932311,-4.03337969,-6.02655771,0.36962235,1.14712309
ABBV,AbbVie Inc.,0.0090629,0.13157298,0.06801179,-0.3431771,0.42773935,1.21984775,-1.12882996,-8.62725617,-3.19298246,2.18518519,2.99580028,20.44090363,0.7197512,2.95209803
MRK,"Merck & Company, Inc.",0.02654985,0.09298618,0.05975699,-0.066313,0.24612519,-0.81600421,-2.45922858,-1.21903264,1.7828201,5.71570564,-3.38256536,-6.88847604,0.44283372,1.57754011
MS,Morgan Stanley,0.00974999,-0.00482602,-0.10606499,0.05794862,-0.1156961,-0.58552505,-0.65227818,-0.82351815,11.76216683,24.64797208,51.13089158,102.83979632,1.3896161,1.45532163
CVX,Chevron Corporation,0.00518753,-0.04666356,-0.17605634,-0.3280004,-0.24837007,-0.69029466,-1.12832085,-0.39268368,-10.56782334,-13.45065996,14.13854352,20.44233412,1.0436625,2.20031136
SE,Sea Limited,-0.05523416,-0.05959216,0.00872676,0.05238345,-0.31893302,-2.05686286,-2.70545619,1.61976827,30.68268207,58.28000552,72.720422,142.0615363,1.9863757,2.62842441
SHOP,Shopify Inc.,0.0477285,-0.16483028,-0.32710806,-0.61267587,-0.89859912,-3.83223791,-4.91812771,-3.08044439,21.57441838,35.84061035,30.55435311,55.67201441,1.6050394,4.21412841
MDT,Medtronic plc.,0.05180964,0.05180964,-0.00369864,-0.22879917,0.13199824,0.44586461,0.40109931,1.26610728,9.79611729,13.91370302,15.39183883,26.72979561,0.96149075,1.36720209
WFC,Wells Fargo & Company,0.09138679,0.09138679,-0.03308652,-0.0479113,0,-1.10584518,-0.79239303,-4.11378556,-4.57317073,10.71248105,45.1954937,83.80872483,1.332511,2.08572083
MCD,McDonald's Corporation,-0.1004983,-0.08376262,-0.03352189,-0.05864857,0.0965008,1.02883272,-0.08374508,0.48850333,3.08895321,11.86536027,11.20328083,10.62074081,0.5471251,1.46610169
TXN,Texas Instruments Incorporated,0.04238186,0.07419184,0.08479966,0.10602205,0.49491778,-0.34835849,-0.56878028,-1.10523283,1.26039153,11.43902727,15.03076829,35.16609393,1.1062347,1.25053442
MRNA,"Moderna, Inc.",0.01418976,-0.30645922,-0.00945761,0.07335715,-1.64201321,-3.09127157,1.48788097,12.26738167,94.49043414,225.9344894,304.80520724,643.23374341,0.88402015,4.53610713
NEE,"NextEra Energy, Inc.",-0.02890675,0.02313744,-0.20775623,-0.03468609,-0.33429395,1.65823827,0.87524799,2.91701393,19.30986888,16.0891754,12.04147764,22.44926869,0.7380999,2.57105791
UPS,"United Parcel Service, Inc.",-0.02568977,-0.02312139,-0.08216083,-0.12319064,0.25504289,-0.50623849,-1.40366879,-0.54183919,-3.22789217,17.75706591,15.54038005,21.75844806,0.9657755,1.07452411
TMUS,"T-Mobile US, Inc.",0.0598892,0.19490255,0.42450881,0.52647413,-0.29837386,-0.59492824,-1.71323529,-2.44489855,-9.23473891,4.91327211,-0.87504635,18.08303887,0.8320848,1.76074964
PM,Philip Morris International Inc,0.1784939,0.34307804,0.30692005,0.44344868,1.19883041,-2.24401282,-2.28086711,0.66019417,7.1627907,19.50207469,25.232516,28.8430471,0.5381124,3.62481681
LIN,Linde plc,0.05781461,-0.01444321,-0.19543139,-0.09620935,0.03532321,-1.28310734,-0.58705293,-0.95362217,7.26728174,17.29784671,18.24598687,24.06529962,1.1724204,1.76252618
QCOM,QUALCOMM Incorporated,0.07020993,0,0.07020993,0.09832151,0.28143249,-0.85565217,-1.45889511,-2.84272957,7.24659493,11.45694846,-6.44610739,24.9956148,1.1964182,1.59728603
INTU,Intuit Inc.,0.03700375,0.06697924,0.17645398,0.3322494,-0.00968694,1.27036237,0.77052818,0.26143329,21.1944569,48.26550337,49.42477294,72.93501112,1.3075457,1.84710751
HON,Honeywell International Inc.,0.07580149,0.0713394,-0.06678837,-0.08903134,0.16065691,0.65939981,-1.73410405,-3.23832521,-1.49686142,5.39664647,5.50070522,35.38461538,1.1278098,1.38851321
BX,Blackstone Inc.,0.01168907,0.05067238,-0.02726388,0.17953321,0.52085373,0.97584009,-0.53488372,2.05201623,36.21019108,81.3312606,97.97870699,148.61460957,0.9587899,1.79545994
CHTR,"Charter Communications, Inc.",0.01876548,0.08512663,0.06007434,0.14028583,-0.19910496,-0.12986526,-1.42235588,-2.06573115,18.2299289,27.13847426,20.89637971,30.41188364,0.5003541,0.71383674
BMY,Bristol-Myers Squibb Company,-0.00770238,0.0539499,-0.06927873,-0.21521906,0.20841374,-0.41417395,-1.05166895,-2.9015854,-0.73394495,6.54849828,4.65903595,9.88490183,0.54989374,1.82755389
C,"Citigroup, Inc.",0.07856021,0.0142745,-0.01427042,0.09285714,-0.04992867,-1.10138379,-1.58774765,-2.60047281,-10.36600973,-5.03050847,13.59065845,36.26459144,1.1885712,1.90910535
LOW,"Lowe's Companies, Inc.",0.08826991,0.05392421,0.15457467,0.12755102,0.45774475,-0.5166951,-0.91756481,0.09809211,7.07764953,21.15042147,27.15095633,27.9320504,1.0721686,1.81141439
BLK,"BlackRock, Inc.",0.03679534,0.01514774,-0.05406165,0.11155154,0.07903512,-0.05298271,-1.38059065,-2.00892621,6.1313064,26.88263555,28.10654988,65.0076761,1.3165594,1.22603817
UNP,Union Pacific Corporation,-0.01390498,0.03014073,-0.03753458,-0.0278061,0.32088546,1.05633803,0.15820576,-0.73325955,-2.82167043,0.99943694,3.37623667,11.60945764,0.9764287,1.72421915
SBUX,Starbucks Corporation,0.06356202,0.03812752,0.02541511,0.02965222,0.20368327,1.94317299,0.72531786,0.46812495,5.97001526,9.51939135,10.33838101,37.47961798,0.9415757,2.32014544
GS,"Goldman Sachs Group, Inc. (The)",0,0.02716787,0.01358209,-0.21312505,-0.69148154,-1.29654903,-1.53412268,-2.05799134,5.80490099,18.41412783,53.57779379,100.27692612,1.2542039,1.55176674
SCHW,Charles Schwab Corporation (The),-0.05585812,0.03494304,-0.08376379,-0.04189944,-0.18131102,-0.72142064,-0.73519212,-1.77076184,-1.77076184,10.0415193,34.91704374,104.28204396,0.8504979,1.46027063
PDD,Pinduoduo Inc.,-0.03818251,-0.09063588,-0.06203178,0.23930315,0.38343558,-2.80304437,2.43568424,4.69906019,-16.57106437,-29.31011206,-41.05926718,23.70939161,2.2390375,5.44230957
NOW,"ServiceNow, Inc.",0.12097824,0.04399304,0.07576859,-0.16872676,-0.25325725,-1.10272429,-3.65884208,1.57852216,40.68989262,37.93248945,18.77986302,42.68878219,0.8941496,1.60767256
ISRG,"Intuitive Surgical, Inc.",0.04713494,0.17860778,0.02448614,-0.00277126,-0.04801344,0.40810269,1.00674585,2.75257223,28.83937922,50.39524319,32.3261215,50.46422416,1.1522585,1.36236479
AMD,"Advanced Micro Devices, Inc.",0.1131435,0.12258369,0.03297376,-0.15984955,-0.36595665,-2.73018781,-3.41157205,-4.10946532,32.77888944,36.95820433,15.76709192,29.61787328,1.5274185,3.58225929
AXP,American Express Company,0.00629327,-0.00314634,0.04721881,0.19546028,0.08817787,-0.49461558,-0.23226616,-4.23596047,-3.14461576,8.29982964,31.44487635,53.14126036,1.4430833,1.8622449
AMGN,Amgen Inc.,0.05435521,0.13826869,0.1632431,0.18141412,0.12238238,-0.212343,-2.42965057,-2.06624396,-7.78640615,-3.95286137,-3.9361517,-10.05823187,0.6396189,0.99500227
RTX,Raytheon Technologies Corporation,0.01810173,0.04828585,-0.07234145,-0.0422119,-0.30073379,-0.15662651,-0.93245666,-2.22982539,-6.73044457,8.24190178,15.88589009,39.09029876,1.1643344,1.55717762
IBM,International Business Machines Corporation,-0.02163098,0.07939372,0.11552347,0.06494912,0.12275255,0.44183688,-0.65195587,-1.18996722,-7.96442557,8.44607805,10.16047029,13.42221495,0.63682777,1.08284884
BA,Boeing Company (The),0,0.00946298,0.05206854,-0.06146572,0.01656138,-1.33495146,-3.11225191,-3.69931663,-14.78674514,-13.84201516,-1.25198542,31.47157607,1.7676449,2.64595506
EL,"Estee Lauder Companies, Inc. (The)",-0.00445348,-0.02374733,-0.07269059,-0.08306633,0,-0.23995023,-1.4831934,-1.09548004,13.06741875,18.057844,26.51113866,54.11651641,1.2609252,1.30104916
AMAT,"Applied Materials, Inc.",-0.03741675,-0.09722534,0.05992509,0.22509004,0.79987926,-2.14667741,-1.67120666,-1.16184415,-0.80950613,18.53035144,54.76245655,141.95652174,1.7002645,3.59772296
TGT,Target Corporation,0.10982753,0.17502442,0.332253,0.3629394,0.47356603,1.39667106,0.73676886,-0.35225524,6.10933862,37.81498488,39.41539682,66.7976957,0.84303665,1.56772144
SNAP,Snap Inc.,0.12145749,0.06743998,-0.22861754,-0.05388657,0.66485753,-3.08537064,-1.265317,-2.60149783,20.00971345,34.61049573,48.05272618,213.44608879,1.3299863,4.73849515
SQ,"Square, Inc.",0.0235562,-0.09019608,-0.00514163,-0.48824311,-0.57368092,-4.17936275,-5.56832505,-4.98004253,21.17406403,12.34508005,17.03730932,76.63130157,2.5520773,5.60123942
DE,Deere & Company,0.07295917,0.18124273,-0.0161987,0.09189189,0.55318643,-0.40619788,-4.90830636,-2.06332831,5.92223843,2.49432479,37.60639286,71.78452116,1.065333,2.84727976
CVS,CVS Health Corporation,0,0.01739836,-0.03477858,0.02319916,0.1858952,-0.41580042,-1.42906139,-0.19678203,1.49499706,18.59697387,26.23718887,44.83453721,1.365217,1.55938563
CAT,"Caterpillar, Inc.",-0.01450677,0.10651174,-0.00483606,0.06291134,0.22782356,-0.70114777,-1.71127062,-1.94432589,-11.88152568,-6.46430833,13.59740688,35.41816753,0.8545106,1.68970064
MMM,3M Company,-0.04256225,-0.04256225,-0.04787998,-0.10368204,0.59970015,1.2447462,-3.34379341,-3.51751053,-7.32465226,1.83187903,7.49470794,13.3916717,0.52143455,1.82412712
SPGI,S&P Global Inc.,-0.01331735,-0.08169045,-0.1308001,0.05774954,-0.09757828,0.87079155,-0.32516369,1.52989951,17.16024024,30.85813852,37.07601983,28.09426346,0.85272896,1.41837605
SYK,Stryker Corporation,0.04999107,0.09824411,0.05713674,-0.0071375,0.36716637,0.50956328,1.2434484,1.07903284,10.65065381,16.66527824,14.30378714,36.35655518,1.0956111,1.17403439
ABNB,"Airbnb, Inc.",-0.1583242,-0.07922482,-0.07922482,-0.32826748,-0.43721156,-0.64848485,3.75316456,5.76811407,13.17224715,-10.80581098,11.66893733,,0.8258907,3.06311881
ZTS,Zoetis Inc.,0.06692481,0.10520779,0.08127749,0.07170858,0.13872943,0.73143737,-0.17168201,2.33183418,18.47303186,38.54656165,26.48338369,31.72865144,0.627133,1.40920097
LMT,Lockheed Martin Corporation,-0.05118726,0.02276673,-0.12503197,-0.01991239,-0.19309953,0.64719359,-1.2752809,-2.31795442,-9.13650465,3.11583148,-0.99160516,-8.76855986,0.6346394,1.25336233
TEAM,Atlassian Corporation Plc,0.10489052,0.0445516,0.23631351,-0.07067693,-0.61440733,0.01571956,-0.73844874,4.00207051,64.3278378,69.1479463,63.23170992,122.7636109,0.80726975,1.83237052
SNOW,Snowflake Inc.,-0.03560729,-0.04399472,0.20950491,0.12748879,-0.41015686,1.79525745,2.61290323,4.51782487,28.78021133,40.06428603,13.04193319,,1.0960277,3.55477855
BKNG,Booking Holdings Inc. Common Stock,0.09757867,0.27899251,0.14081587,-0.19286901,-0.0780122,-0.96725777,0.49903448,0.70792766,0.08167463,-2.25254503,3.9815559,23.77676944,1.6048613,2.59760054
MELI,"MercadoLibre, Inc.",0.10976718,0.1886961,0.38471362,0.41141858,-0.55925377,-2.44084695,-2.04880756,2.07180915,44.7708596,32.77931414,13.78445816,80.27692133,1.9757181,3.80620447
MO,"Altria Group, Inc.",-0.02947244,-0.08836524,-0.18636587,0.02948983,0.70262246,0.17720024,-0.17657446,1.29404738,1.96392786,5.56016598,24.09756098,16.19091117,0.91739035,1.19094879
ANTM,"Anthem, Inc.",0.11602806,0.21878883,0.21337511,0.07822193,-0.02425092,-1.78973286,-2.05423389,-1.11428038,-3.88900404,11.21938057,15.52835654,38.71438187,1.3448126,2.53636904
GILD,"Gilead Sciences, Inc.",0.09048514,0.2230276,0.28593347,0.27194756,0.13927577,0.96923725,-0.11117287,-1.23660346,4.70502549,12.47066187,23.37796087,11.42458534,0.5591465,1.11079865
ADI,"Analog Devices, Inc.",-0.03053995,0.07337206,0.15298005,0.11316023,0.38640824,0.24499296,0.75720266,0.44185333,-1.62288874,11.2568826,10.78995465,41.75472025,1.1935408,2.0135468
ZM,"Zoom Video Communications, Inc.",0.02043945,-0.30728486,-0.14284257,-0.36986766,-0.31659268,-2.1202827,-1.57229542,1.41623489,-11.99832149,-12.62684879,-12.9609866,-24.65032722,0.29667133,3.24579217
ADP,"Automatic Data Processing, Inc.",0.06826937,0.0633899,0.01462131,0.0017056,0.62273218,1.43401078,-1.0849648,-1.87045542,3.5016903,12.66545834,16.41884222,49.44630628,0.3882601,1.50234742
MDLZ,"Mondelez International, Inc.",0.04930966,0.05753267,0.07398274,0.17279684,0.41240515,1.36575616,-1.3933895,-1.94941195,-3.86984679,8.31108738,4.08756627,5.84347826,0.6033403,1.72759139
TJX,"TJX Companies, Inc. (The)",0.16500466,0.16500466,0.28731504,0.0286574,-0.01432254,-0.04294918,-1.75882932,-3.98789879,7.36583115,6.43292683,2.24044516,27.50182615,1.2688437,1.55673014
LRCX,Lam Research Corporation,0.01713825,-0.05309128,-0.02997782,0.1845446,0.89904736,-1.62679748,-4.44892011,-3.51840217,-7.97205444,12.50048197,23.56067504,93.92509388,1.876953,2.91647871
USB,U.S. Bancorp,0.02711252,0.07233273,-0.05418096,0.07233273,-0.16236695,-0.87766434,-1.44256456,-3.57205088,-6.59915612,2.90070658,18.78085426,51.49192445,0.91260755,1.39720559
BNTX,BioNTech SE,-0.16048502,-0.23757201,-0.41796354,-0.55062167,-2.12394022,-2.9918352,0.58031708,2.14162034,39.23557911,243.03203428,312.46319921,439.53786906,1.2875365,5.23474318
PNC,"PNC Financial Services Group, Inc. (The)",0.06784969,0.07829627,0.01564945,0.00521594,0.12533292,-0.2549295,0.10442774,0.32443747,0.48744693,7.84115199,28.67114094,74.43362751,1.0045295,0.95578196
HCA,"HCA Healthcare, Inc.",0.07078254,-0.02357193,-0.1569366,0.05111067,-0.1569366,0.91222782,0.58509587,0.57316784,22.14007969,37.25521929,54.70631157,90.14273971,1.4946179,2.73116816
MU,"Micron Technology, Inc.",-0.02766634,-0.13127893,0.13162452,0.30534351,0.62656642,-1.86040196,-2.08643815,-1.94029851,-8.12356979,-15.38461538,-3.8707103,60.06644518,0.9899073,3.55786809
DUK,Duke Energy Corporation (Holding Company),0,0.01737534,-0.24148871,-0.00949217,0.15212017,2.06395349,-0.33118849,0.64016816,3.88598481,16.01497962,15.03931848,27.53359971,0.0815402,2.8624282
MMC,"Marsh & McLennan Companies, Inc.",-0.00628891,-0.03143666,0.04404455,0.19534942,0.08812791,0.70302109,-0.31347962,1.14503817,15.70368214,35.4921176,35.8974359,36.18843683,0.8048925,1.07226699
FIS,"Fidelity National Information Services, Inc.",0.02307692,-0.07684623,-0.23018492,-0.19955484,-0.2378395,3.39616639,3.67652923,1.74532363,-10.42513608,-10.66520066,-8.10123003,-12.45791246,1.1434833,3.83117399
CB,Chubb Limited,-0.02192021,0.07130711,0.09326823,0.2087224,0.15920944,0.36309622,-0.56143028,-0.81013484,9.04363419,5.15909615,18.52260915,49.26362297,0.9317435,1.20135083
SHW,Sherwin-Williams Company (The),0.02360001,-0.04847992,-0.17496635,-0.14136654,0.12486922,-2.03077533,-3.49347819,-2.29854777,7.12377239,26.05450945,21.11291045,28.17287427,0.56135046,2.97177831
FISV,"Fiserv, Inc.",0.01709548,0.01709548,0.08553588,-0.23021828,0.05130398,1.73913043,1.15856822,-0.67068512,5.30105301,-5.53851122,2.7577727,21.33782733,0.9410631,2.45179304
EW,Edwards Lifesciences Corporation,0.02444789,0.00814797,-0.01629195,-0.08954009,0.04890773,0.62300189,1.38762699,4.75337088,26.4421096,47.92721138,34.55003836,44.68411127,1.0762686,1.94839137
UBER,"Uber Technologies, Inc.",0.07492507,0.13744846,0.11242973,-0.03742048,0.14996251,-2.14896215,-0.62003968,2.37608585,-18.45746846,-30.53051318,-21.43137255,14.45301342,2.1588612,3.79111223
BDX,"Becton, Dickinson and Company",0.0418633,0.06852183,0.02663623,-0.07792455,-0.24287503,1.95865493,1.95865493,4.44179579,8.02547771,10.50485519,5.0595476,11.59315702,0.36398152,2.56808734
TFC,Truist Financial Corporation,0.02696629,0.05394713,-0.10771993,-0.03593245,-0.15253477,-0.67832917,-1.43489814,-2.48860848,-4.8075278,-5.37414966,16.08595869,47.0790378,1.0952657,1.59103236
COP,ConocoPhillips,-0.01808645,-0.12646793,-0.23461469,-0.4860486,-0.14450867,-1.25044659,-1.70697013,-0.4502071,-7.37265416,-6.96735106,38.23455864,60.4178758,1.4666578,2.57292988
DELL,Dell Technologies Inc.,0.116046,0.17945741,0.28426203,0.50836687,0.63626723,-1.16654515,-2.3162446,-2.63697927,-8.72450943,8.22308394,29.4719607,41.96588869,1.3004344,2.19295917
CI,Cigna Corporation,0.04219607,0.12904437,0.09851292,-0.1416119,-0.08896381,-1.3683432,-1.64115803,0.80793763,-11.83835379,-10.43573168,2.48823134,22.5995518,1.4148357,2.05031742
REGN,"Regeneron Pharmaceuticals, Inc.",0.19148491,0.15552565,-0.00447915,-0.23535721,-0.43551842,0.05681733,-1.52743647,-0.62518563,28.23416691,43.00459451,38.51710791,17.16536812,0.8508788,1.55648736
CSX,CSX Corporation,-0.03154574,-0.07882705,-0.17325563,-0.07882705,0.25308447,0.57124722,-0.96875,-2.58223179,-2.81118867,1.58146864,4.76043447,24.0152547,0.7483501,1.56699712
SO,Southern Company (The),0.03715538,0.07433839,-0.16315633,-0.02643782,-0.05939124,1.6920985,1.56933756,2.40377301,5.78343549,12.59618602,9.57187042,27.36045412,0.7552251,2.19663687
MCO,Moody's Corporation,0.0314276,-0.00261808,-0.04187276,-0.01308901,-0.0652016,0.04452943,-0.89519707,0.30727211,12.73983116,31.19225088,31.59454245,32.42952741,0.87283385,1.07102445
GM,General Motors Company,0.02655771,0.02655771,0.01634154,0.04699632,0.34429757,0.51313629,0.30725113,-0.081616,-21.98502469,-13.83072321,17.60326609,53.27073552,1.1857536,2.27178852
ITW,Illinois Tool Works Inc.,-0.02478538,0.02479767,-0.17099402,-0.05856383,0.50513059,0.10379998,-2.94053297,-4.74534055,-4.52393251,3.65922049,8.79438886,13.66711079,0.89549595,1.27065496
CME,CME Group Inc.,-0.02579979,0.04130738,0.10333247,0.16025641,0.0826489,-0.00516102,-0.79365079,-3.95102122,-10.09697926,-6.23790166,6.42680582,15.32051664,0.6643789,1.16303273
FDX,FedEx Corporation,0.13426938,0.11122617,0.02299203,0.14195281,0.54312238,-0.9937794,-1.8869343,-1.75768753,-10.94810822,0.23039705,0.53924967,15.6234773,0.9701242,1.85442745
